City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
213,Bulgan,MN,48.8125,103.5347,32.2,64,94,4.47,2022-04-21 20:01:44
214,Saint-Philippe,RE,-21.3585,55.7679,76.59,87,77,11.27,2022-04-21 20:01:44
215,Ust-Kuyga,RU,70.0167,135.6,6.64,98,98,1.81,2022-04-21 20:01:45
216,Kasongo-Lunda,CD,-6.4667,16.8167,70.83,96,94,2.3,2022-04-21 20:01:45
217,Hambantota,LK,6.1241,81.1185,79.92,84,91,8.46,2022-04-21 20:01:46
218,Harper,LR,4.375,-7.7169,80.1,85,100,7.99,2022-04-21 20:01:46
219,Buchanan,LR,5.8808,-10.0467,80.42,86,100,9.98,2022-04-21 20:01:46
220,Port Lincoln,AU,-34.7333,135.8667,60.82,70,83,13.76,2022-04-21 20:00:11
221,Port Blair,IN,11.6667,92.75,82.85,72,72,2.66,2022-04-21 20:01:47
222,Conceicao Do Araguaia,BR,-8.2578,-49.2647,79.9,88,95,4.05,2022-04-21 20:01:31
223,Ponta Do Sol,PT,32.6667,-17.1,63.72,66,59,10.63,2022-04-21 20:01:47
224,Rakiv Lis,UA,51.6217,24.9243,42.46,95,100,9.24,2022-04-21 20:01:48
225,Port Augusta,AU,-32.5,137.7667,57.42,61,0,5.44,2022-04-21 20:01:48
226,Saint-Augustin,CA,51.226,-58.6502,35.28,90,20,7.45,2022-04-21 20:01:45
227,Aklavik,CA,68.2191,-135.0107,12.27,82,92,3.65,2022-04-21 20:01:48
228,San Ramon,US,37.7799,-121.978,62.69,64,75,16.11,2022-04-21 20:01:54
229,Villagarzon,CO,1.0375,-76.6267,79.41,80,66,3.53,2022-04-21 20:02:49
230,Salalah,OM,17.0151,54.0924,79.32,75,1,4.83,2022-04-21 20:00:39
231,Goundi,TD,9.3627,17.366,89.56,23,100,4.52,2022-04-21 20:02:50
232,Mount Gambier,AU,-37.8333,140.7667,53.38,66,100,6.93,2022-04-21 20:02:50
233,Ulcinj,ME,41.9294,19.2244,53.82,66,100,10.25,2022-04-21 20:02:50
234,Okha,RU,53.5739,142.9478,28.26,96,100,5.5,2022-04-21 20:02:51
235,Lorengau,PG,-2.0226,147.2712,82.0,74,45,9.62,2022-04-21 20:02:51
236,Mount Isa,AU,-20.7333,139.5,71.37,28,100,9.22,2022-04-21 20:02:51
237,Sergeyevka,KZ,53.88,67.4158,29.66,64,7,11.56,2022-04-21 20:02:52
238,Nome,US,64.5011,-165.4064,39.11,51,6,5.91,2022-04-21 20:02:52
239,Zhanakorgan,KZ,43.9098,67.2495,66.78,26,9,1.81,2022-04-21 20:02:52
240,Cayenne,GF,4.9333,-52.3333,74.08,1,100,2.3,2022-04-21 20:02:53
241,Tommot,RU,58.9564,126.2925,19.35,95,100,2.08,2022-04-21 20:02:53
242,Vardo,NO,70.3705,31.1107,37.38,87,75,10.36,2022-04-21 20:02:53
243,Kaitangata,NZ,-46.2817,169.8464,46.85,94,100,11.23,2022-04-21 20:02:54
244,Georgetown,MY,5.4112,100.3354,82.33,89,20,3.44,2022-04-21 19:59:45
