City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
258,Chokurdakh,RU,70.6333,147.9167,6.89,96,100,0.87,overcast clouds
259,Sumbal,IN,34.2333,74.6333,49.44,82,98,2.08,overcast clouds
260,Tutoia,BR,-2.7619,-42.2744,78.12,88,53,8.28,broken clouds
261,Changji,CN,44.0167,87.3167,56.19,33,0,4.47,clear sky
262,Anshun,CN,26.25,105.9333,57.96,94,100,5.46,overcast clouds
263,Atambua,ID,-9.1061,124.8925,75.61,82,98,3.51,overcast clouds
264,Lazaro Cardenas,MX,17.9583,-102.2,83.25,57,0,11.52,clear sky
265,Poum,NC,-20.2333,164.0167,76.84,73,21,9.31,few clouds
266,Chulman,RU,56.8479,124.9104,10.58,94,76,1.12,broken clouds
267,Hoima,UG,1.4356,31.3436,65.01,99,100,2.24,light rain
268,Coruripe,BR,-10.1256,-36.1756,77.77,84,32,8.34,scattered clouds
269,Tahe,CN,52.3333,124.7333,34.86,43,56,3.22,broken clouds
270,Chumphon,TH,10.3333,98.8333,71.6,98,68,1.39,broken clouds
271,Kendal,GB,54.3268,-2.7476,46.6,78,33,8.46,scattered clouds
272,Kruisfontein,ZA,-34.0033,24.7314,60.89,88,7,6.29,clear sky
273,Egvekinot,RU,66.3167,-179.1667,23.83,82,86,2.62,overcast clouds
274,Mahibadhoo,MV,3.7833,72.9667,83.73,75,52,9.35,broken clouds
275,Ponta Delgada,PT,37.7333,-25.6667,57.92,67,40,3.44,scattered clouds
276,Myre,NO,69.1036,15.9492,40.95,86,100,12.88,overcast clouds
277,Caravelas,BR,-17.7125,-39.2481,74.98,74,0,6.58,clear sky
278,Letka,RU,59.6011,49.4232,24.51,95,8,1.7,clear sky
279,Carballo,ES,43.213,-8.691,50.86,87,100,5.95,light rain
280,Aksha,RU,50.2814,113.2867,33.89,63,85,4.07,overcast clouds
281,Antofagasta,CL,-23.65,-70.4,63.68,89,59,8.05,broken clouds
282,Hazaribag,IN,23.9833,85.35,74.75,63,2,2.75,clear sky
283,Boa Vista,BR,2.8197,-60.6733,78.78,78,75,3.44,broken clouds
284,Najran,SA,17.4924,44.1277,74.05,19,4,3.4,clear sky
285,Pedasi,PA,7.5333,-80.0333,80.73,73,46,11.12,scattered clouds
286,Namibe,AO,-15.1961,12.1522,73.53,77,92,4.94,overcast clouds
287,San Onofre,CO,9.7359,-75.5263,75.9,87,99,1.59,overcast clouds
288,Pisco,PE,-13.7,-76.2167,69.03,77,0,24.16,clear sky
289,Luderitz,NA,-26.6481,15.1594,60.76,85,4,8.75,clear sky
290,Broome,US,42.2506,-75.833,54.19,79,100,12.66,overcast clouds
291,Hamilton,US,39.1834,-84.5333,67.06,79,75,5.75,broken clouds
292,Taltal,CL,-25.4,-70.4833,64.24,83,42,4.25,scattered clouds
293,Wana,PK,32.2989,69.5725,60.58,50,6,3.24,clear sky
294,Kushmurun,KZ,52.4503,64.6311,35.01,61,99,13.15,overcast clouds
295,Vanavara,RU,60.34,102.2797,23.23,87,62,3.33,broken clouds
296,Khandyga,RU,62.6667,135.6,23.23,86,99,1.68,overcast clouds
297,Yatou,CN,37.15,122.3833,55.51,78,53,13.58,broken clouds
298,Kiama,AU,-34.6833,150.8667,66.99,69,99,3.0,overcast clouds
299,Brae,GB,60.3964,-1.353,46.27,87,11,17.25,few clouds
300,San Cristobal,VE,7.7669,-72.225,73.58,83,76,2.39,broken clouds
301,Fortuna,US,40.5982,-124.1573,57.92,71,75,13.8,broken clouds
302,Seoul,KR,37.5683,126.9778,60.19,65,0,11.5,clear sky
303,Lasa,IT,46.6166,10.7002,49.08,95,95,1.54,overcast clouds
304,Nuevo Progreso,MX,23.1667,-97.95,80.55,74,85,5.01,light rain
305,Grand Gaube,MU,-20.0064,57.6608,77.4,79,100,5.99,overcast clouds
306,Sabang,ID,5.8933,95.3214,81.81,75,83,4.41,broken clouds
307,Dennery,LC,13.8996,-60.8879,80.69,73,20,20.71,few clouds
308,Komsomolskiy,UZ,40.4272,71.7189,63.32,77,75,0.0,broken clouds
309,Igrim,RU,63.1906,64.4162,12.97,76,9,7.61,clear sky
310,Ulundi,ZA,-28.3352,31.4162,62.04,73,80,3.38,broken clouds
311,Panjakent,TJ,39.4952,67.6093,56.37,63,31,4.68,scattered clouds
312,Faanui,PF,-16.4833,-151.75,78.46,80,69,10.0,light rain
313,Horsham,GB,51.064,-0.3272,51.44,72,0,11.5,clear sky
314,Pacific Grove,US,36.6177,-121.9166,60.91,59,100,11.5,overcast clouds
315,Ovsyanka,RU,55.9575,92.5519,36.57,99,100,0.67,light rain
316,Sitka,US,57.0531,-135.33,48.09,71,40,5.75,scattered clouds
317,Thompson,CA,55.7435,-97.8558,37.56,32,20,9.22,few clouds
318,Salym,RU,60.0625,71.4789,12.9,91,72,8.75,broken clouds
319,Miandrivazo,MG,-19.5167,45.4667,78.26,74,80,3.09,broken clouds
320,Pryozerne,UA,45.2698,36.3303,41.43,89,82,6.46,broken clouds
321,Tessalit,ML,20.1986,1.0114,82.83,12,1,9.1,clear sky
322,Thinadhoo,MV,0.5333,72.9333,84.04,74,48,11.99,scattered clouds
323,Assiniboia,CA,49.6334,-105.9845,35.42,64,100,14.97,overcast clouds
324,Kahului,US,20.8947,-156.47,82.42,51,40,23.02,scattered clouds
325,Juneau,US,58.3019,-134.4197,54.84,40,75,10.36,broken clouds
326,Aswan,EG,24.0934,32.907,74.5,15,0,6.91,clear sky
327,Dharchula,IN,29.85,80.5333,62.33,69,93,5.79,overcast clouds
328,Kiunga,PG,-6.1219,141.2906,78.76,92,98,2.01,overcast clouds
329,Kamakwie,SL,9.5,-12.2333,81.23,58,70,6.11,broken clouds
330,Nazca,PE,-14.8333,-74.95,71.4,66,83,8.55,broken clouds
331,Acapulco,MX,16.8634,-99.8901,87.62,58,0,5.75,clear sky
332,Villamontes,BO,-21.25,-63.5,77.85,65,100,4.03,overcast clouds
333,Huarmey,PE,-10.0681,-78.1522,69.6,80,76,12.08,broken clouds
334,Cherskiy,RU,68.75,161.3,20.57,92,83,7.99,broken clouds
335,Nhulunbuy,AU,-12.2333,136.7667,79.41,100,38,3.44,scattered clouds
336,Lapithos,CY,35.3375,33.1792,53.89,80,86,4.94,overcast clouds
337,Leo,BF,11.1,-2.1,83.12,56,98,7.05,overcast clouds
338,Tungor,RU,53.3808,142.9564,29.61,96,100,6.82,snow
339,Nalut,LY,30.3333,10.85,64.45,26,0,13.0,clear sky
340,Kaitangata,NZ,-46.2817,169.8464,47.98,80,100,12.82,overcast clouds
341,Ambon,ID,-3.6954,128.1814,78.94,89,20,4.61,few clouds
342,Sosnovo,RU,60.5514,30.2144,38.25,95,32,2.62,scattered clouds
343,Zastron,ZA,-30.3023,27.084,54.36,58,78,4.12,broken clouds
344,Dzilam Gonzalez,MX,21.2833,-88.9333,85.35,54,18,15.01,few clouds
345,Bako,ET,5.7833,36.5667,62.13,93,100,3.04,moderate rain
346,Batouri,CM,4.4333,14.3667,69.46,96,96,1.61,overcast clouds
347,Aksu,CN,41.1231,80.2644,63.81,30,100,7.2,light rain
